time,flux,flux_err,t_0,amplitude,duplicate_id
1.0343381993760763,-72.97748956956804,1.0738607311294883,-1.0343381993760763,2.1767143183545934,0
1.3303883797879157,-71.45271673372417,1.4945532149634044,-1.0343381993760763,2.1767143183545934,0
1.5343381993760763,-69.12663894659454,0.43552820209333976,-1.0343381993760763,2.1767143183545934,0
1.7843381993760763,-69.34551106542048,0.7751440157576686,-1.0343381993760763,2.1767143183545934,0
2.134151168119285,-66.84899758676266,1.3755554177807792,-1.0343381993760763,2.1767143183545934,0
2.2843381993760765,-66.84899758676266,1.3755554177807792,-1.0343381993760763,2.1767143183545934,0
2.554578090394795,-65.74336083127,1.5424455226224574,-1.0343381993760763,2.1767143183545934,0
2.8209589345159536,-65.74336083127,1.5424455226224574,-1.0343381993760763,2.1767143183545934,0
3.0343381993760765,-62.70439175055137,1.658626806051629,-1.0343381993760763,2.1767143183545934,0
3.290065359712468,-63.9685009210747,0.2794239547974307,-1.0343381993760763,2.1767143183545934,0
3.481541635391192,-60.77560351907053,0.6022761302592332,-1.0343381993760763,2.1767143183545934,0
3.692988052763109,-60.76078176057801,0.534548277804972,-1.0343381993760763,2.1767143183545934,0
4.0343381993760765,-58.71173384940688,0.2530359547027761,-1.0343381993760763,2.1767143183545934,0
4.2684705544333035,-56.96886112080979,1.673743485581777,-1.0343381993760763,2.1767143183545934,0
4.5343381993760765,-55.21838238057172,1.492599822899131,-1.0343381993760763,2.1767143183545934,0
4.7843381993760765,-56.15891221961326,1.1929784091227034,-1.0343381993760763,2.1767143183545934,0
4.964021252245299,-55.87853603067298,0.971240427851336,-1.0343381993760763,2.1767143183545934,0
5.2843381993760765,-49.886377239603775,1.335721667823381,-1.0343381993760763,2.1767143183545934,0
5.5343381993760765,-46.13165630742463,1.7097570093650034,-1.0343381993760763,2.1767143183545934,0
5.771019311246061,-42.946007866296625,0.8001156517804611,-1.0343381993760763,2.1767143183545934,0
6.013142389961001,-45.775834461530266,1.6702343446997137,-1.0343381993760763,2.1767143183545934,0
6.2843381993760765,-44.17410473061152,0.6444334891177559,-1.0343381993760763,2.1767143183545934,0
6.496850215330493,-41.85971828015274,1.6800165663233948,-1.0343381993760763,2.1767143183545934,0
6.7843381993760765,-34.027066030643766,1.2444056961943488,-1.0343381993760763,2.1767143183545934,0
7.100163721147407,-34.027066030643766,1.2444056961943488,-1.0343381993760763,2.1767143183545934,0
7.301535074900027,-34.027066030643766,1.2444056961943488,-1.0343381993760763,2.1767143183545934,0
7.433945002880943,-34.027066030643766,1.2444056961943488,-1.0343381993760763,2.1767143183545934,0
7.7843381993760765,-23.3943812853829,4.028279422243962,-1.0343381993760763,2.1767143183545934,0
9.354251713567361,-14.48914909809028,0.5824636264534989,-1.0343381993760763,2.1767143183545934,0
9.541207064171328,-14.48914909809028,0.5824636264534989,-1.0343381993760763,2.1767143183545934,0
9.69776683828503,-11.064955456170845,1.332566196667678,-1.0343381993760763,2.1767143183545934,0
10.034338199376077,-11.498188814102255,1.1674793402311592,-1.0343381993760763,2.1767143183545934,0
10.220606843165012,-12.203990989308627,0.8607928619975319,-1.0343381993760763,2.1767143183545934,0
10.534338199376077,-11.255336169491214,1.2949529033617955,-1.0343381993760763,2.1767143183545934,0
10.784338199376077,-5.534652208760621,0.37451115990883693,-1.0343381993760763,2.1767143183545934,0
11.07224756769109,-4.220173969881205,1.1842706914072498,-1.0343381993760763,2.1767143183545934,0
11.284338199376077,-2.6824393609242745,1.6290902527009672,-1.0343381993760763,2.1767143183545934,0
11.534338199376077,-0.5167271882293943,1.343299253204968,-1.0343381993760763,2.1767143183545934,0
11.724556696356455,-0.608613787376855,1.1135029425624572,-1.0343381993760763,2.1767143183545934,0
11.941205286372576,4.0779016953653375,0.5002527167028178,-1.0343381993760763,2.1767143183545934,0
12.284338199376077,0.3780420283739011,0.5236469388302146,-1.0343381993760763,2.1767143183545934,0
12.544662414943456,-1.1680376042720946,0.5044595991659602,-1.0343381993760763,2.1767143183545934,0
12.784338199376077,1.1954640851128737,0.849909800845716,-1.0343381993760763,2.1767143183545934,0
13.059439280174853,4.234007611140889,0.8192748179181891,-1.0343381993760763,2.1767143183545934,0
13.259415044248168,4.990589878258188,0.5980393996289665,-1.0343381993760763,2.1767143183545934,0
13.52517254381645,7.259041332649393,0.40217792094343136,-1.0343381993760763,2.1767143183545934,0
13.784338199376077,4.126792739625254,1.1796853007232053,-1.0343381993760763,2.1767143183545934,0
0.10304520507771696,-44.92078777972756,0.9895560102261992,-0.10304520507771696,1.3283564250339093,1
0.39909538548955636,-42.536268814422016,0.5455346055172458,-0.10304520507771696,1.3283564250339093,1
0.603045205077717,-42.536268814422016,0.5455346055172458,-0.10304520507771696,1.3283564250339093,1
0.853045205077717,-44.137102891765046,0.5137315474193525,-0.10304520507771696,1.3283564250339093,1
1.2028581738209252,-43.60456241732156,0.9120624369083202,-0.10304520507771696,1.3283564250339093,1
1.3530452050777169,-43.60456241732156,0.9120624369083202,-0.10304520507771696,1.3283564250339093,1
1.6232850960964353,-42.185055802416784,0.2657843891850163,-0.10304520507771696,1.3283564250339093,1
1.889665940217594,-42.31862417326436,0.47303751575292796,-0.10304520507771696,1.3283564250339093,1
2.103045205077717,-41.432813372100966,1.021273117528182,-0.10304520507771696,1.3283564250339093,1
2.3587723654141084,-40.53706373929103,0.8071662663106178,-0.10304520507771696,1.3283564250339093,1
2.5502486410928324,-40.53706373929103,0.8071662663106178,-0.10304520507771696,1.3283564250339093,1
2.7616950584647495,-40.120384667453514,0.941289080961773,-0.10304520507771696,1.3283564250339093,1
3.103045205077717,-38.2658307327399,1.0121895905097993,-0.10304520507771696,1.3283564250339093,1
3.337177560134944,-39.03726294341156,0.17052058808715304,-0.10304520507771696,1.3283564250339093,1
3.603045205077717,-37.088773082954184,0.3675435772752994,-0.10304520507771696,1.3283564250339093,1
3.853045205077717,-35.82928096080804,0.15441711085361942,-0.10304520507771696,1.3283564250339093,1
4.03272825794694,-35.82928096080804,0.15441711085361942,-0.10304520507771696,1.3283564250339093,1
4.353045205077717,-34.76567965698679,1.021414658866142,-0.10304520507771696,1.3283564250339093,1
4.603045205077717,-33.697436726863465,0.9108703645829316,-0.10304520507771696,1.3283564250339093,1
