time,flux,comp1,comp2,model,residual
0.0,0.4455993909674372,-9.020255372432285,8.283090710937564,-0.7371646614947203,1.1827640524621579
0.31561757177405525,-0.041058734284391364,-5.590746796729957,6.4287729274087235,0.8380261306787666,-0.8790848649631577
0.45590117778920103,2.4460780994205367,-4.066421559845483,5.5355309750720085,1.4691094152265256,0.9769686841940111
0.7600290606060298,3.8275389917362337,-0.7617602370685069,3.4877260895311166,2.72596585246261,1.1015731392736243
1.0872687868613866,5.818086718944994,2.7940349653185175,1.1716042064879084,3.965639171806426,1.8524475471385684
1.3339018589249463,4.1173794846657765,5.473956209688594,-0.6046861318079462,4.869270077880648,-0.7518905932148712
1.5656175717740552,5.200503822812654,7.991785048793559,-2.2635130215844255,5.728272027209133,-0.5277682043964793
1.8344001070072409,6.560307434121711,10.912382924253789,-4.137413578470601,6.774969345783188,-0.2146619116614774
2.104051590533345,7.469819799749104,13.842422814002566,-5.921848682386967,7.920574131615599,-0.45075433186649505
2.274414888684987,10.073832536378001,15.69359475196504,-6.981169857695553,8.712424894269487,1.3614076421085137
2.6158518998272484,11.123906996082697,19.403658013629148,-8.900846602025421,10.502811411603727,0.6210955844789705
2.819240189033735,13.336540295795912,21.61368034575207,-9.891854839976068,11.721825505776001,1.6147147900199101
3.0287506070308154,15.432301029608425,23.8902258852835,-10.776448775032845,13.113777110250654,2.318523919357771
3.3156175717740552,16.861501376790223,27.007329632526478,-11.741458732252928,15.26587090027355,1.5956304765166731
3.5447796854641638,18.319693782120815,29.497410998113182,-12.292670888752383,17.2047401093608,1.1149536727600164
3.7864815584543976,23.3341885909749,32.123749707723206,-12.651434804703271,19.472314903019935,3.861873687954965
4.085199826397002,24.07208786102009,35.369630017459244,-12.769749358375245,22.599880659084,1.472207201936092
4.337618427583948,25.444258480558826,38.1124169686786,-12.587332376719981,25.52508459195862,-0.08082611139979434
4.565617571774055,26.12034940564177,40.58986147805,-12.20316302067697,28.38669845737303,-2.2663490517312557
4.815617571774055,31.272045926142695,43.3063678471547,-11.55034653538013,31.756021311774568,-0.4839753856318705
5.060629640822299,35.159104064879614,45.968675231462996,-10.68773235296873,35.280942878494265,-0.12183881361465154
5.315617571774055,39.56224620004194,48.7393805853641,-9.573627304173483,39.16575328119062,0.39649291885132065
5.565617571774055,45.014575146719785,51.4558869544688,-8.28900797154853,43.166878982920274,1.8476961637995135
5.889232488189009,48.28583903379579,54.97229488078284,-6.385615913040788,48.58667896774205,-0.3008399339462633
6.065617571774055,51.56496494769023,56.88889969267821,-5.254388961760168,51.63451073091804,-0.06954578322781213
6.342037087299104,55.58362193600771,59.89248119055275,-3.3813940666291655,56.51108712392359,-0.9274651879158755
6.683801951723581,62.034114608439666,63.60610691433393,-0.9572351626281808,62.64887175170575,-0.6147571432660819
6.815617571774055,68.48634253297077,65.03841879999231,-0.007774344487327252,65.03064445550498,3.4556980774657795
7.106199697242118,73.05964615859389,68.19589157832021,2.077978837348508,70.27387041566872,2.78577574292517
7.2883335292717675,76.55942272498773,70.17496243727217,3.360384280964401,73.53534671823657,3.0240760067511543
7.512257252215932,81.89577009097731,72.60812331555802,4.887028666366754,77.49515198192478,4.4006181090525365
7.815617571774055,86.26114379679709,75.90444427641113,6.826523269211802,82.73096754562293,3.530176251174157
8.190412603944424,88.96449304205552,79.97697664440956,8.941434232349243,88.9184108767588,0.04608216529671871
