time,x0,flux,comp1,comp2,model,first_component_residual
60072.60861915041,0.0,1.801300048828125,0.0,2.1104626945223126,2.1104626945223126,1.801300048828125
60072.89504409002,0.2864249396152445,3.1231842041015625,1.849400265564229,1.856436360411697,3.705836625975926,1.2737839385373335
60073.20138122298,0.592762072570622,4.260383605957031,3.7222131145696946,1.4181309861369835,5.140344100706678,0.5381704913873366
60073.37203779743,0.763418647024082,4.192173004150391,4.72200931587078,1.113516637861836,5.835525953732616,-0.5298363117203895
60073.63381671054,1.025197560134984,5.749900817871094,6.202832766779659,0.5867358418793378,6.789568608658997,-0.4529319489085655
60073.905521517954,1.2969023675468634,6.420265197753906,7.684680234091361,-0.0017878392622625733,7.682892394829098,-1.2644150363374544
60074.12203779743,1.513418647024082,7.622791290283203,8.836937444194895,-0.4727960367662489,8.364141407428646,-1.2141461539116918
60074.37203779743,1.763418647024082,8.786706924438477,10.150258706751302,-0.9878143836050625,9.16244432314624,-1.3635517823128254
60074.67115479074,2.0625356403324986,9.682601928710938,11.720525152943607,-1.52080127929971,10.199723873643897,-2.037923224232669
60074.86665754192,2.2580383915119455,10.677541732788086,12.76002236225483,-1.7986748544361162,10.961347507818713,-2.082480629466744
60075.12203779743,2.513418647024082,13.284517288208008,14.150332420959865,-2.0571256800732076,12.093206740886657,-0.8658151327518571
60075.36181230774,2.7531931573321344,13.719596862792969,15.504668483085721,-2.17852376921214,13.326144713873582,-1.7850716202927526
60075.62203779743,3.013418647024082,14.717962265014648,17.04574228150335,-2.1691800324257122,14.876562249077638,-2.3277800164887026
60075.903990174585,3.2953710241781664,15.389163970947266,18.818242978698468,-1.9944503544478183,16.82379262425065,-3.429079007751202
60076.09372840156,3.4851092511526076,17.79107666015625,20.080105185145673,-1.78683176816546,18.293273416980213,-2.2890285249894227
60076.307836769425,3.6992176190178725,19.829914093017578,21.577169086839962,-1.4760050195183354,20.101164067321626,-1.7472549938223843
60076.62203779743,4.013418647024082,22.32494354248047,23.923215368129846,-0.9026107302529479,23.020604637876897,-1.5982718256493769
60076.93284402944,4.3242248790338635,26.11064910888672,26.423915730413828,-0.24823657386411443,26.175679156549712,-0.3132666215271094
60077.06912704213,4.460507891722955,27.244857788085938,27.576590796324815,0.05005065552610888,27.626641451850926,-0.33173300823887786
60077.41950459876,4.810885448350746,29.822731018066406,30.68991924096253,0.7994561399385232,31.489375380901055,-0.8671882228961252
60077.55829201524,4.949672864830063,31.10790252685547,31.978808030272376,1.0742282724614527,33.05303630273383,-0.8709055034169069
60077.87203779743,5.263418647024082,35.45695495605469,34.99375749046789,1.6117267207515404,36.605484211219434,0.463197465586795
60078.16017833487,5.55155918445962,39.38187789916992,37.86375197894513,1.9677476312196982,39.83149961016483,1.51812592022479
60078.420166511794,5.811547361387056,41.503379821777344,40.51050206817617,2.150299410903094,42.66080147907927,0.9928777536011708
60078.60563287101,5.997013720603718,43.5560302734375,42.41703174780365,2.1925351607536205,44.60956690855727,1.138998525633852
60078.90676704692,6.298147896515729,46.844120025634766,45.516043443668856,2.1013270103557717,47.61737045402463,1.3280765819659095
60079.05105874643,6.442439596023178,47.6539192199707,46.991031935925335,1.9894316483986207,48.98046358432396,0.6628872840453681
60079.35863409344,6.75001494303433,50.677669525146484,50.08315629119996,1.6169473802065406,51.7001036714065,0.5945132339465218
60079.62203779743,7.013418647024082,53.257965087890625,52.64341016395509,1.1755755985242842,53.81898576247937,0.6145549239355361
60079.903867431676,7.295248281268869,53.792388916015625,55.25558390020561,0.6144341279967349,55.870018028202345,-1.4631949841899825
60080.108515471366,7.499896320958214,56.25750732421875,57.049881431056285,0.17386336728385493,57.22374479834014,-0.792374106837535
60080.37203779743,7.763418647024082,59.103477478027344,59.21072624682774,-0.40149572834808805,58.80923051847965,-0.10724876880039602
60080.62713204427,8.018512893861043,61.048805236816406,61.121769442363764,-0.9324417893060748,60.18932765305769,-0.07296420554735761
60080.871580005434,8.262960855026904,61.53156280517578,62.7702143817264,-1.3850208457678939,61.38519353595851,-1.238651576550616
60081.12203779743,8.513418647024082,65.11167907714844,64.26196815747905,-1.763115509189651,62.49885264828939,0.8497109196693913
60081.419838974936,8.811219824528962,63.25099182128906,65.76685466845352,-2.0679989611922758,63.698855707261245,-2.515862847164456
60081.62203779743,9.013418647024082,64.09065246582031,66.6211092570176,-2.1722388476075145,64.44887040941008,-2.530456791197281
60081.87203779743,9.263418647024082,63.78596639633179,67.49384736976349,-2.178608256877645,65.31523911288585,-3.707880973431699
60082.111579478544,9.502960328136396,65.05612277984619,68.14830594286676,-2.0575602365531838,66.09074570631357,-3.0921831630205645
60082.37203779743,9.763418647024082,66.4519053697586,68.67391003950986,-1.7930070829913762,66.88090295651848,-2.222004669751257
60082.62203779743,10.013418647024082,68.02725219726562,69.01723641067969,-1.4250113131982902,67.59222509748139,-0.9899842134140613
60082.964635484066,10.356016333658772,67.89495849609375,69.27968962170125,-0.7823652374287927,68.49732438427246,-1.3847311256075017
60083.12203779743,10.513418647024082,71.68692016601562,69.33900650198336,-0.4516078012659035,68.88739870071745,2.347913664032262
60083.398852556544,10.790233406136394,67.77095031738281,69.3843902590396,0.15198079071186632,69.53637104975147,-1.613439941656793
60083.625570209064,11.01695105865656,70.09919738769531,69.39608703292932,0.6397774356223028,70.03586446855162,0.7031103547659967
60083.87203779743,11.263418647024082,69.84532165527344,69.42002455947807,1.1321342804256915,70.55215883990375,0.4252970957953721
60084.12203779743,11.513418647024082,72.44461059570312,69.49574575684947,1.5615128839087198,71.05725864075819,2.948864838853652
60084.32923940386,11.720620253450761,72.92219543457031,69.6273250543305,1.844785963435211,71.47211101776571,3.2948703802398143
60084.62203779743,12.013418647024082,72.00662231445312,69.96747985846014,2.1083479033818064,72.07582776184195,2.0391424559929874
60084.87203779743,12.263418647024082,75.880126953125,70.44328845949224,2.1918047664134037,72.63509322590563,5.436838493632763
60085.14014083044,12.531521680029982,73.44712829589844,71.18674764945328,2.1299053171017728,73.31665296655505,2.2603806464451566
60085.33919713774,12.730577987334982,73.62734985351562,71.9177919299013,1.984840735597132,73.90263266549843,1.7095579236143266
60085.62203779743,13.013418647024082,76.74800109863281,73.24884208675276,1.6459254167498252,74.89476750350258,3.499159011880053
60085.93884394975,13.330224799341522,78.78584289550781,75.1815044630872,1.1126938469815006,76.2941983100687,3.6043384324206187
60086.12203779743,13.513418647024082,78.8871841430664,76.5234360513886,0.7498850629202984,77.2733211143089,2.363748091677806
60086.437567683955,13.8289485335481,79.8377914428711,79.22987245720681,0.07346091500229465,79.30333337220911,0.6079189856642842
60086.606286285285,13.997667134877702,80.37528991699219,80.88198531117986,-0.2955686002382914,80.58641671094156,-0.5066953941876733
60086.87203779743,14.263418647024082,80.43363189697266,83.76686827311258,-0.8558099978631056,82.91105827524947,-3.333236376139922
