time,flux,comp1,model,residual
0.12371998655668327,447.81114181450704,687.4981553512824,687.4981553512824,-239.6870135367754
0.44792858261586266,1077.6126614615869,940.9047670010501,940.9047670010501,136.70789446053675
0.6831162830998107,1253.1388296171904,1140.5187285988818,1140.5187285988818,112.62010101830856
0.9032903879191178,1253.1388296171904,1336.646810830967,1336.646810830967,-83.5079812137767
1.17578180160432,1704.2820346277135,1588.9610006436653,1588.9610006436653,115.3210339840482
1.3339559196095832,1704.2820346277135,1739.3295408348322,1739.3295408348322,-35.04750620711866
1.6306630384491325,1933.5261779556627,2027.8949023985467,2027.8949023985467,-94.36872444288406
1.9036017943648074,2365.1142552602473,2300.551961672532,2300.551961672532,64.56229358771543
2.135621395463535,2365.1142552602473,2538.4595548208667,2538.4595548208667,-173.34529956061942
2.403290387919118,2625.14933220366,2821.7668091181326,2821.7668091181326,-196.61747691447272
2.6738988434438977,2902.817594167978,3120.838542332643,3120.838542332643,-218.02094816466524
2.9504414641190704,3473.343100129064,3443.8165390779113,3443.8165390779113,29.52656105115284
3.098834259063882,3473.343100129064,3626.0565787093055,3626.0565787093055,-152.71347858024137
3.6646402210384292,4470.073350859959,4394.614926618322,4394.614926618322,75.45842424163675
3.9088245058513746,4905.037278428681,4769.8879757220075,4769.8879757220075,135.14930270667355
4.153290387919117,4905.037278428681,5176.289938430421,5176.289938430421,-271.25266000173997
4.403290387919117,5340.756997330811,5626.033390845061,5626.033390845061,-285.27639351425023
4.676492054509584,6177.489124225647,6158.87460036779,6158.87460036779,18.61452385785742
4.834035084924256,6177.489124225647,6486.147050214121,6486.147050214121,-308.65792598847383
5.174939885371135,7335.864069471442,7244.099985886321,7244.099985886321,91.76408358512163
5.343610177878293,7335.864069471442,7643.600111368437,7643.600111368437,-307.7360418969947
5.653290387919117,8098.528468774981,8416.71108394207,8416.71108394207,-318.18261516708844
5.969672528007653,9439.235242525978,9254.766274059175,9254.766274059175,184.46896846680283
6.1711221415383655,9996.888765798705,9810.640067013226,9810.640067013226,186.24869878547906
6.3784542462811835,9996.888765798705,10398.358326967078,10398.358326967078,-401.4695611683728
6.653290387919117,11289.980886833637,11198.084316307828,11198.084316307828,91.89657052580878
7.1702851216026495,12922.821685916491,12750.235071793937,12750.235071793937,172.58661412255424
7.359829419764868,13581.971510087173,13330.494325488615,13330.494325488615,251.47718459855787
7.57056870161556,13581.971510087173,13980.722902961816,13980.722902961816,-398.751392874643
8.046268606703382,15252.632683847236,15464.473757092079,15464.473757092079,-211.84107324484285
8.132464422225315,15252.632683847236,15735.580474762142,15735.580474762142,-482.94779091490636
0.3205081551859285,2052.559647327527,2158.3514358434154,2158.3514358434154,-105.79178851588858
0.644716751245108,2775.652724300292,2851.7743993411796,2851.7743993411796,-76.12167504088757
0.879904451729056,3227.762934444161,3388.2648597293746,3388.2648597293746,-160.50192528521347
1.100078556548363,4028.755497065531,3909.8402918298534,3909.8402918298534,118.9152052356776
1.3725699702335652,4980.265540003471,4575.599577994033,4575.599577994033,404.66596200943786
1.5307440882388283,4980.265540003471,4970.70655258094,4970.70655258094,9.558987422530663
1.8274512070783777,5541.880675793481,5727.816710102321,5727.816710102321,-185.93603430884014
2.1003899629940523,6091.9252906611955,6444.307543243739,6444.307543243739,-352.3822525825435
2.3324095640927798,6761.708688299334,7072.157771483947,7072.157771483947,-310.4490831846124
2.600078556548363,7476.9106299020405,7824.526878497913,7824.526878497913,-347.6162485958721
2.8706870120731427,8314.765629960584,8625.111233591864,8625.111233591864,-310.34560363128
3.1472296327483154,8946.437419570464,9496.824063575545,9496.824063575545,-550.3866440050806
3.295622427693127,10643.58690093493,9991.528680466965,9991.528680466965,652.0582204679649
3.861428389667674,11513.757881526952,12092.424080552339,12092.424080552339,-578.666199025387
4.10561267448062,12634.112953163714,13122.123921624287,13122.123921624287,-488.01096846057226
4.350078556548363,13756.414748654603,14236.955837704063,14236.955837704063,-480.5410890494604
4.600078556548363,15082.694196669538,15468.414951799092,15468.414951799092,-385.72075512955416
4.8732802231388295,15911.62124407125,16922.505377788504,16922.505377788504,-1010.8841337172544
5.030823253553502,17793.86921224946,17812.44387148406,17812.44387148406,-18.574659234600404
5.37172805400038,18895.2968146346,19863.401248460534,19863.401248460534,-968.1044338259344
5.540398346507539,20859.723916653365,20938.6154394847,20938.6154394847,-78.89152283133444
5.850078556548363,22999.03080017998,23008.239078392515,23008.239078392515,-9.208278212536243
6.166460696636898,25749.411202798194,25236.095680043145,25236.095680043145,513.3155227550487
6.367910310167611,25749.411202798194,26705.6119789523,26705.6119789523,-956.2007761541063
6.575242414910429,29080.08352772595,28252.90407285664,28252.90407285664,827.1794548693106
6.850078556548363,31976.84410400324,30349.016292232605,30349.016292232605,1627.827811770636
7.367073290231895,34983.66117210497,34393.276075342175,34393.276075342175,590.385096762795
7.556617588394113,34983.66117210497,35899.48969530286,35899.48969530286,-915.828523197888
7.7673568702448055,38649.8069970812,37585.20699149713,37585.20699149713,1064.6000055840705
8.243056775332628,41532.682646470406,41429.5825531965,41429.5825531965,103.10009327390435
0.15551851477861578,657.8470565922856,1044.5457262008279,1044.5457262008279,-386.6986696085422
0.4797271108377952,1583.04305385668,1420.850054683938,1420.850054683938,162.19299917274202
0.7149148113217432,1840.8958902291977,1716.32816117465,1716.32816117465,124.56772905454773
0.9350889161410503,2297.7274316347493,2006.0938292309852,2006.0938292309852,291.63360240376414
1.2075803298262524,2503.6378405862897,2378.3273786502027,2378.3273786502027,125.310461936087
1.3657544478315156,2840.4038806590024,2599.977614830835,2599.977614830835,240.4262658281673
1.662461566671065,3160.710859939803,3025.167165450292,3025.167165450292,135.54369448951093
1.9354003225867398,3474.4188030316795,3426.945734526822,3426.945734526822,47.473068504857565
2.1674199236854674,3856.4175833318595,3777.714851111404,3777.714851111404,78.70273222045535
2.4350889161410505,4264.320004209957,4195.807884630666,4195.807884630666,68.51211957929081
2.7056973716658304,4742.175366435115,4637.715891497655,4637.715891497655,104.45947493746007
2.982239992341003,5102.437884186222,5115.590729401881,5115.590729401881,-13.152845215659
3.1306327872858146,5102.437884186222,5385.495393172771,5385.495393172771,-283.0575089865497
3.696438749260362,6566.662420902669,6525.1953373888955,6525.1953373888955,41.467083513773105
3.9406230340733073,7205.636561464426,7082.1202076221925,7082.1202076221925,123.51635384223391
4.1850889161410505,7845.720980573666,7685.273271400586,7685.273271400586,160.4477091730796
4.4350889161410505,8602.140344304476,8352.605636568534,8352.605636568534,249.534707735942
4.708290582731517,9074.903811093716,9142.861775534308,9142.861775534308,-67.95796444059124
4.865833613146189,9074.903811093716,9627.980736775726,9627.980736775726,-553.0769256820095
5.206738413593068,10776.588912255953,10750.645341850513,10750.645341850513,25.94357040543946
5.3754087061002265,11896.964185226221,11341.87507178705,11341.87507178705,555.0891134391713
5.6850889161410505,11896.964185226221,12485.037346948293,12485.037346948293,-588.0731617220717
6.001471056229586,13866.499827621577,13722.82525093486,13722.82525093486,143.67457668671705
6.2029206697602985,14685.708406034391,14543.088371733427,14543.088371733427,142.6200343009641
6.410252774503117,16585.296795636958,15409.747459652315,15409.747459652315,1175.5493359846423
6.6850889161410505,16585.296795636958,16588.157130945317,16588.157130945317,-2.860335308359936
7.202083649824583,18983.98546874146,18872.953901613266,18872.953901613266,111.03156712819327
7.391627947986801,19952.29494386305,19726.530844580455,19726.530844580455,225.76409928259454
7.602367229837493,19952.29494386305,20682.801252951438,20682.801252951438,-730.5063090883887
8.078067134925314,22406.542802162912,22864.542938713388,22864.542938713388,-458.0001365504759
8.164262950447247,23687.410242613514,23263.203441608228,23263.203441608228,424.20680100528625
0.16914110111450986,2466.0740194591053,2231.952298860415,2231.952298860415,234.12172059869044
0.441632514799712,2466.0740194591053,2895.750051301125,2895.750051301125,-429.6760318420197
0.5998066328049751,3334.843437729138,3306.6912554619494,3306.6912554619494,28.152182267188437
0.8965137516445245,3878.0370275571668,4117.433561062109,4117.433561062109,-239.39653350494245
1.1694525075601994,5274.171288512177,4898.8416884442295,4898.8416884442295,375.32960006794747
1.4014721086589268,5983.60367953304,5583.614114169722,5583.614114169722,399.98956536331843
1.6691411011145099,6658.363361723042,6393.27726479368,6393.27726479368,265.0860969293617
1.9397495566392897,7319.221493682707,7232.889382220184,7232.889382220184,86.33211146252233
2.2162921773144624,8123.941316432343,8116.472883859031,8116.472883859031,7.468432573312384
2.364684972259274,8123.941316432343,8603.83558081384,8603.83558081384,-479.8942643814971
2.9304909342338212,10748.811570881942,10583.194456075846,10583.194456075846,165.61711480609665
3.1746752190467666,10748.811570881942,11518.176532237514,11518.176532237514,-769.3649613555717
3.41914110111451,12787.873504395417,12518.797005390787,12518.797005390787,269.07649900463
3.66914110111451,13833.351549586088,13620.432880684386,13620.432880684386,212.9186689017024
3.9423427677049765,15179.41646824996,14927.809993827537,14927.809993827537,251.60647442242225
4.099885798119649,15179.41646824996,15735.600748522937,15735.600748522937,-556.184280272977
4.440790598566528,18121.295695490284,17628.983999269534,17628.983999269534,492.3116962207496
4.609460891073686,18121.295695490284,18642.45907441334,18642.45907441334,-521.1633789230546
4.91914110111451,21378.67156606902,20638.379627863666,20638.379627863666,740.2919382053551
5.235523241203046,22701.9958349124,22856.449463430163,22856.449463430163,-154.45362851776372
5.436972854733758,25062.181881499328,24359.346757875606,24359.346757875606,702.8351236237213
5.644304959476576,25062.181881499328,25975.30278574935,25975.30278574935,-913.1209042500232
5.91914110111451,27632.4794764969,28216.83998179571,28216.83998179571,-584.3605052988096
6.436135834798042,34938.6379902763,32693.170587655764,32693.170587655764,2245.4674026205357
6.625680132960261,34938.6379902763,34402.72150333469,34402.72150333469,535.9164869416127
