time,flux,comp1,comp2,model,residual
0.14328058173123281,-6.382725409537436,-5.9191584495474014,0.36695618525115653,-5.552202264296245,-0.8305231452411908
0.41692568650614703,-6.261898797440681,-5.777468176270669,0.33441581432079165,-5.443052361949877,-0.8188464354908036
0.696110172488261,-6.008942741649007,-5.63290967541253,0.2913395610839658,-5.341570114328564,-0.667372627320443
0.9540250738573377,-6.046677388402109,-5.499364319696464,0.24378299292839423,-5.25558132676807,-0.7910960616340398
1.1404591520913527,-5.963878130187894,-5.402830908237116,0.20546155806699473,-5.1973693501701215,-0.7665087800177719
1.4320152650980162,-5.805145041412052,-5.251866521860111,0.1402464037883133,-5.111620118071798,-0.6935249233402541
1.6684274595900206,-5.74601232905496,-5.129455019300702,0.08391064750096973,-5.045544371799732,-0.7004679572552278
1.8599526017933385,-5.72029954354298,-5.030285513745414,0.03689581824697147,-4.9933896954984425,-0.7269098480445373
2.264110959658865,-5.463438557824528,-4.821016986102118,-0.06320659079569214,-4.884223576897811,-0.5792149809267174
2.5109228074361454,-5.563652806139733,-4.693220663239835,-0.12279062440233053,-4.816011287642166,-0.7476415184975677
2.5932896733429516,-5.400174790248997,-4.650572051824392,-0.1421044215382417,-4.792676473362634,-0.6074983168863628
2.933509369890089,-5.216527446305956,-4.474410224199,-0.21742053050257765,-4.691830754701577,-0.5246966916043787
3.177354388710228,-5.073123357625336,-4.348150091088946,-0.2656572899332455,-4.613807381022191,-0.4593159766031451
3.3617217255741707,-4.958545500691811,-4.252686814429774,-0.29816398396129457,-4.550850798391068,-0.40769470230074206
3.743456211683224,-4.820642137843637,-4.055029108473606,-0.3526908760350988,-4.407719984508705,-0.41292215333493215
3.907485681673279,-4.892207224156717,-3.9700965442771965,-0.37022763131232983,-4.340324175589526,-0.5518830485671908
4.17863784043584,-4.856301454912352,-3.8296970896396103,-0.3907680712879023,-4.220465160927513,-0.6358362939848399
4.4553250066164765,-4.342089108691936,-3.6864316721180863,-0.4003806614642689,-4.086812333582356,-0.25527677510958074
4.738311417975638,-3.988830631079399,-3.539904578231052,-0.39806787578037367,-3.9379724540114256,-0.05085817706797352
4.92863784043584,-3.7463238584417797,-3.4413557559075136,-0.3896259067915682,-3.830981662699082,0.08465780425730213
5.17863784043584,-3.9868069768511964,-3.3119086446634816,-0.3703410905986418,-3.6822497352621233,-0.3045572415890731
5.41197237509914,-3.8446539401237976,-3.191090718800943,-0.3443271193812189,-3.535417838182162,-0.3092361019416355
5.66582527448918,-3.4326682940751683,-3.0596486207730926,-0.30788652313493664,-3.367535143908029,-0.065133150167139
5.977934252718114,-2.9617013899960063,-2.898042198272844,-0.25277442496264535,-3.1508166232354897,0.1891152332394832
6.196035962471797,-2.9617013899960063,-2.7851116531328506,-0.2085303817612514,-2.993642034894102,0.0319406448980957
6.42863784043584,-2.9617013899960063,-2.664673088443321,-0.15717538812985996,-2.821848476573181,-0.13985291342282516
6.67863784043584,-2.9617013899960063,-2.535225977199289,-0.09837603501250008,-2.633602012211789,-0.3280993777842171
8.216363655119494,-1.589196624683449,-1.7390093188145899,0.2598412693103625,-1.4791680495042274,-0.11002857517922165
8.393330858139961,-1.3472279272504357,-1.647377745950847,0.29170251393086044,-1.3556752320199865,0.0084473047695508
8.67863784043584,-1.2611293899105966,-1.499649087247032,0.33554248724846025,-1.1641065999985718,-0.09702278991202484
8.939614109156537,-0.9630890281657669,-1.3645185908904705,0.36651220967159104,-0.9980063812188794,0.0349173530531125
9.247603080271801,-1.0145581438923152,-1.2050454604669,0.390710438223106,-0.8143350222437941,-0.20022312164852119
9.42863784043584,-1.0547137676993181,-1.1113077535149356,0.39834890568308273,-0.7129588478318529,-0.34175491986746526
9.67863784043584,-0.7646261863879115,-0.9818606422709036,0.40065612213237667,-0.581204520138527,-0.1834216662493845
10.023762785029248,-0.40541310620888854,-0.8031589338874104,0.3881035175664846,-0.41505541632092585,0.009642310112037311
10.157170882645005,-0.466307752870117,-0.734081762475724,0.378454639921091,-0.35562712255463297,-0.11068063031548403
10.494694228851586,-0.17682473825938577,-0.5593160739002795,0.34269634247033437,-0.21661973142994512,0.039794993170559345
10.675367726318655,-0.04929043512979228,-0.46576542459840736,0.3172915660462783,-0.14847385855212908,0.09918342342233677
10.92863784043584,-0.05297348582512104,-0.3346250860507431,0.2750725350612428,-0.0595525509895003,0.006579065164379283
11.233342652732972,0.4087521356854229,-0.1768524551146678,0.2154250056341732,0.038572550519505394,0.3701795851659174
11.426581641077064,-0.04015508175676333,-0.07679553983122037,0.17348360624756778,0.09668806641634742,-0.13684314817311075
