time,x0,flux,comp1,comp2,model,first_component_residual
59977.13784255236,0.0,35.72108459472656,-66.72419,112.60971603071495,45.885526030714956,102.44527459472656
59977.458537350154,0.3206947977960226,42.34283447265625,-41.21741243759341,81.7146419795009,40.49722954190749,83.56024691024966
59977.718465949394,0.5806233970361063,48.459014892578125,-20.910238081452412,63.01070313313878,42.10046505168637,69.36925297403053
59977.929460616026,0.7916180636675563,57.80242919921875,-4.667371373167285,51.024705466004285,46.357334092837,62.469800572386035
59978.344362576674,1.206520024315978,66.6314697265625,26.642124916834774,33.69697179763799,60.33909671447277,39.989344809727726
59978.34546152878,1.207618976419326,66.66830444335938,26.723944272586706,33.6599607799972,60.383905052583906,39.94436017077267
59978.679460616026,1.5416180636675563,80.88583374023438,51.31909879694476,24.102364225602056,75.42146302254682,29.566734943289617
59978.929460616026,1.7916180636675563,85.194091796875,69.37414239531543,18.770940132771095,88.14508252808653,15.819949401559569
59979.26507252391,2.127229971549241,105.11439514160156,93.1348089129971,13.419354472021007,106.55416338501811,11.979586228604461
59979.38196211659,2.2441195642313687,110.03239440917969,101.28191595420014,11.938977117798759,113.2208930719989,8.750478454979543
59979.828518701586,2.6906761492282385,131.65652561187744,131.79551279102236,7.638886532760295,139.43439932378266,-0.13898717914491954
59979.95698239542,2.8191398430644767,136.27412128448486,140.39415994268796,6.717984318496049,147.112144261184,-4.1200386582031
59980.179460616026,3.0416180636675563,144.41787815093994,155.09601194966882,5.377964389614372,160.47397633928318,-10.67813379872888
59980.52412529507,3.386282742714684,166.29225158691406,177.39751526634484,3.810061220130797,181.20757648647563,-11.105263679430777
59980.60569015299,3.4678476006301935,169.60546875,182.59073753773754,3.5116302887337176,186.10236782647127,-12.985268787737539
59980.85700830581,3.719165753449488,182.7655792236328,198.38896341092814,2.7312578296548673,201.12022124058302,-15.62338418729533
59981.179460616026,4.041618063667556,207.098876953125,218.2094894681516,1.9784425342912522,220.18793200244284,-11.110612515026588
59981.48936058888,4.351518036521156,232.87841796875,236.78255336937943,1.4512278097573372,238.23378117913677,-3.9041354006294284
59981.679460616026,4.541618063667556,232.262451171875,247.9448888523929,1.1999860555272075,249.1448749079201,-15.682437680517893
59981.96063495632,4.822792403960193,262.1678771972656,264.1331511483821,0.9058655314748391,265.03901667985696,-1.965273951116501
59982.17227454794,5.034431995583873,276.5809631347656,276.06475191094364,0.7330773953336983,276.7978293062773,0.5162112238219834
59982.35003623873,5.212193686369574,284.8818359375,285.9183199645604,0.6136898023653132,286.5320097669257,-1.0364840270603963
59982.7452194618,5.607376909443701,306.49871826171875,307.2740081947718,0.41335482706324594,307.68736302183504,-0.7752899330530454
59982.86835261093,5.7305100585726905,312.49920654296875,313.77313095945385,0.36546598859832297,314.13859694805217,-1.2739244164851016
59983.179460616026,6.041618063667556,336.1783447265625,329.865729505117,0.26775308074566845,330.1334825858626,6.312615221445526
59983.4460381371,6.308195584744681,343.2237548828125,343.28093513528813,0.20509795499073105,343.48603309027885,-0.05718025247563219
59983.57234178781,6.434499235452677,357.24505615234375,349.5165149094063,0.18076250516773779,349.69727741457405,7.728541242937467
59983.929460616026,6.791618063667556,370.82391357421875,366.728136237729,0.12647759973761796,366.8546138374666,4.095777336489732
59984.179460616026,7.041618063667556,385.29931640625,378.4084920235997,0.09850085371664857,378.50699287731635,6.890824382650294
59984.426033415104,7.288190862745978,399.9485168457031,389.6313811146107,0.07697590233899897,389.70835701694966,10.317135731092435
59984.62967689996,7.49183434760198,408.1145935058594,398.67767085973594,0.06279333463024146,398.74046419436615,9.436922646123435
59984.929460616026,7.791618063667556,421.27268981933594,411.6282200062118,0.046528508712180255,411.674748514924,9.644469813124147
59985.1460961311,8.008253578744188,428.74798583984375,420.71511414811005,0.03746584433655216,420.7525799924466,8.032871691733703
59985.39297066352,8.255128111159138,441.5334014892578,430.79251529900637,0.029269767805500103,430.82178506681186,10.740886190251445
59985.704271577866,8.566429025508114,455.64453125,443.077827669484,0.021439912466477966,443.09926758195047,12.566703580515991
59985.8310884929,8.69324594054342,459.2525634765625,447.9476579749063,0.018886310329706394,447.966544285236,11.304905501656208
59986.09487759174,8.957035039384209,457.88885498046875,457.8270638350041,0.014507245867316627,457.8415710808714,0.06179114546466735
59986.429460616026,9.291618063667556,471.2453670501709,469.8716487839358,0.010381913600416393,469.88203069753627,1.3737182662350733
