SN_ID,a,a_err,b,b_err,c,c_err,d,d_err,e,e_err,f,f_err,r2,chi2,n_points
SN2018exc,-0.02049153218789755,0.038146782717894144,9.85809539478437,0.6802583043868036,-4.115401697804756,3.3595805595769734,-12.180081970222542,1.4487627940473677,0.444747114011109,0.03219200631355291,-0.4370614595522584,0.26311801115489936,0.9987871636145859,41.65601465743177,52
SN2018fhw,1.3730013341851748,0.8691495659158104,-26.067637479773285,22.84285446166731,102.51047937132608,19.841571670105555,-152.26186778229248,130.07208780214015,0.1807715097920273,0.046526803064180854,2.4584440885357406,0.5319640988771354,0.9988816780227059,174.86926387896955,58
SN2018fpm,-2778.5253411756735,499285.52396033215,14136.49749750813,2541585.889177515,77622.09897741218,31059172.162567437,-95580.03576324,34293622.38643008,0.24182949502304962,21.783080186914376,7.238745621612176,55.36893476541999,0.7789427835060735,40.49725795305427,9
SN2018fqn,0.5170288493316931,2.2744530763317017,-134.09749824896625,1589.3861241473874,0.026481145894348024,3641.1174018308634,-3858.3261862110166,68043.54238363313,0.03551123943310038,0.2141710632728854,3.140963600247333,0.945968454376655,0.9892488043363643,119.26948298122643,55
SN2018fub,0.08189516892279666,0.09242568306759254,7.197055984132387,2.1815056762783924,10.98725620296708,8.74905793932653,-18.71750113340228,4.047532716329575,0.3579865509736424,0.034391601900457626,0.6549436325446021,0.3699167526687819,0.998976650325589,71.83727227144402,59
SN2018fvi,0.027756867379319306,0.13941124456850915,2.9553892090061904,3.1270993263325626,2.7090169996788145,12.98475745219014,-8.125657842394235,4.486437268604903,0.41468234735095444,0.09568712205837288,0.1936861371055429,0.9774860277329549,0.9946386913445963,44.846664153210284,56
SN2018fzi,-0.10126790596279844,0.034010536086183686,2.064801711477523,0.3280513396534875,-0.7125144844122362,0.6845807960147483,-0.7193224631164096,0.35792366797993397,1.6745350228451263,0.20180873388705775,-2.233681292618499,1.0031367249254528,0.8454124732721703,22.92932391942886,33
SN2018fzz,-1.5830859800199129,4.00843805377116,5.205534096873797,9.324364912666855,-2.551553937178095,2.844382688162804,-3.399726142538403,5.329576931145609,2.0229000495543272,1.38313683368972,-0.8207552905964497,1.846154012324507,0.8333021125474828,6.774401976414407,13
SN2018gjz,0.01337274174221871,0.005540545812988511,1.327146678750506,0.11362742896682387,-6.8650819380421515,0.503789932203889,-2.9114973181000257,0.27518481012289486,0.5737783463268665,0.015436220915871256,-2.6288153689342977,0.1768424349704536,0.9127331186372075,248.27329950159628,70
SN2018grv,-12.822635241017874,7433.677339121906,168.3383613932866,96459.25415654673,9616.68711538127,11516162.594956867,10158.344304294335,11829075.803320246,0.05016739809288247,14.68266569283549,4.38689835399419,95.26709785735521,0.8236292452651918,323.8894318980443,47
SN2018gyr,-0.09169576973765009,1.6107631339803155,9.5367364458321,5.621126221897993,-2.407031460451023,2.647142464106486,-6.7107509772741425,2.2432081855995905,1.9097930325529553,0.31448358524294445,-1.6937303632206397,0.5491775221475407,0.9869707684428205,19.10995608413218,17
