time,flux,Raw,RB,Sky,flux_err
double,double,double,double,double,double
3346.533296,NaN,NaN,0.000000,13241.031250,NaN
3346.553730,2478.298782,2502.818970,0.000000,13227.967773,11.131166
3346.574163,2485.000590,2509.956498,0.000000,13219.663086,11.130598
3346.594597,2479.382506,2495.711338,0.000000,13222.285156,11.129537
3346.615031,2476.840179,2498.726632,0.000000,13201.042969,11.121104
3346.635464,2463.302287,2485.576558,0.000000,13205.857422,11.118010
3346.655898,2489.941362,2504.956746,0.000000,13206.058594,11.127528
3346.676331,2496.367612,2508.772747,0.000000,13193.178711,11.125240
3346.696765,2485.143296,2494.693665,0.000000,13196.378906,11.122395
3346.717199,NaN,NaN,0.000000,13184.599609,NaN
3346.737632,2477.648932,2515.076936,0.000000,13173.856445,11.111745
3346.758066,2471.134730,2509.060503,0.000000,13169.535156,11.107898
3346.778499,2471.771285,2504.087609,0.000000,13170.623047,11.108510
3346.798933,2481.501251,2509.096911,0.000000,13167.763672,11.110949
3346.819367,2472.237248,2499.553717,0.000000,13161.291992,11.105362
3346.839800,2471.297244,2490.729080,0.000000,13162.566406,11.105481
3346.860234,2472.855888,2491.204235,0.000000,13150.572266,11.101774
3346.880667,2470.540239,2486.724470,0.000000,13151.660156,11.101337
3346.901101,2497.820233,2514.095097,0.000000,13140.933594,11.107217
3346.921535,2475.297960,2492.924825,0.000000,13141.742188,11.099504
3346.941968,2467.586214,2478.264692,0.000000,13136.659180,11.094956
3346.962402,NaN,NaN,0.000000,13131.395508,NaN
3346.982835,2486.087132,2515.482680,0.000000,13122.252930,11.096412
3347.003269,2465.592460,2492.441058,0.000000,13114.562500,11.086388
3347.023703,2469.168801,2504.462487,0.000000,13096.763672,11.081327
3347.044136,2476.938277,2511.467400,0.000000,13085.255859,11.079996
3347.064570,2466.257955,2492.535360,0.000000,13083.192383,11.075459
3347.085003,2477.366485,2503.920306,0.000000,13069.328125,11.074477
3347.105437,2466.669091,2488.383269,0.000000,13063.172852,11.068473
3347.125871,2479.378642,2497.813770,0.000000,13057.845703,11.071104
3347.146304,2474.829825,2491.615096,0.000000,13050.716797,11.066942
3347.166738,2470.262124,2483.748760,0.000000,13045.138672,11.063326
3347.187171,2467.864740,2475.757663,0.000000,13038.185547,11.059991
3347.207605,NaN,NaN,0.000000,13031.114258,NaN
3347.228039,2476.592607,2514.002585,0.000000,13024.711914,11.058299
3347.248472,NaN,NaN,0.000000,13021.703125,NaN
3347.268906,2478.466597,2505.109164,0.000000,13020.276367,11.057385
3347.289339,2474.057533,2506.372915,0.000000,13010.093750,11.052179
3347.309773,2460.771866,2488.359775,0.000000,13006.884766,11.046290
3347.330207,2462.462711,2490.223786,0.000000,12994.849609,11.042596
3347.350640,2477.661982,2499.862954,0.000000,12993.034180,11.047376
3347.371074,2479.665281,2498.561617,0.000000,12986.691406,11.045826
3347.391508,2471.953677,2490.429066,0.000000,12979.974609,11.040673
3347.411941,2480.135624,2489.332941,0.000000,12971.604492,11.040606
3347.432375,2463.757937,2476.821744,0.000000,12972.348633,11.035019
3347.452808,2468.831933,2477.901959,0.000000,12958.081055,11.031732
3347.473242,2460.972397,2463.995761,0.000000,12952.877930,11.027061
3347.493675,2482.235812,2483.573196,0.000000,12949.913086,11.033604
3347.514109,2482.910107,2478.489410,0.000000,12947.198242,11.032875
3347.534543,2470.059619,2460.993112,0.000000,12937.428711,11.024785
3347.554976,2466.962148,2453.266677,0.000000,12938.074219,11.023908
3347.575410,2468.806512,2454.459641,0.000000,12927.162109,11.020663
3347.595844,2464.367893,2443.445830,0.000000,12926.697266,11.018907
3347.616277,2452.621257,2425.279026,0.000000,12928.562500,11.015370
3347.636711,2469.838581,2438.352644,0.000000,12909.868164,11.014841
3347.657144,NaN,NaN,0.000000,12912.826172,NaN
