time,flux,flux_err
3346.6729257499996,2479.694401,3.210180999071314
3346.9289649999996,2475.0383359999996,3.345673939571562
3347.1667378000006,2473.1745598999996,3.49898622462013
3347.4221579166674,2471.7849121666663,3.186215035845938
3347.677578,2469.4839269090908,3.3203080961195806
3347.932069181818,2469.684744,3.3135442374206807
3348.177272363637,2467.5933920909088,3.3055070214098476
3348.422475818182,2463.5676685454546,3.2978048439115537
3348.6788245000002,2463.0918600833334,3.1509719463724015
3348.935173454545,2464.0425164545454,3.283444100005414
3349.1803766363637,2463.097453090909,3.2760048334993797
3349.425579909091,2465.2268324545453,3.2692217423655565
3349.693074363636,2459.197159727273,3.2605186943926925
3349.9382775454546,2459.7876445454544,3.253489440463473
3350.2419953333333,2456.4769676666665,4.394432265114513
3350.45654825,2460.06057775,3.799011693376495
3350.6738873636364,2456.4329058181816,3.2340351463092087
3350.929926583333,2462.4961886666665,3.090284589149897
3351.186585181818,2456.6771672727273,3.2202661108278003
3351.4317884545453,2452.8875622727273,3.2128032151506116
3351.6769915454543,2462.215944,3.2079601519974066
3351.932876166666,2460.9489124166666,3.065061582454652
3352.1896893636367,2454.8073158181815,3.194017508238299
3352.4590414444447,2461.4447466666666,3.5241709708985898
3352.683811,2461.3289605454547,3.182236327223292
3352.9358254999993,2458.2918248333335,3.0406785261194305
3353.192793636364,2462.419486090909,3.170320419605986
3353.4357677,2456.8276313,3.3176105139959993
3353.6832000909094,2457.543477545454,3.156807812351367
3353.928403272727,2459.1846296363638,3.1512715310614166
3354.2061146,2461.8980170000004,3.2986118444249923
3354.4297491111115,2461.962145111111,3.4718576971687707
3354.6863041818183,2457.6580115454544,3.1346528020981292
3354.931507636363,2458.982891818182,3.1310091367230997
3355.1767108181816,2465.346849545455,3.1259436615201097
3355.421914090909,2455.7966837272725,3.11978714266898
3355.667117181818,2454.3247406363635,3.113781754899745
3355.912320636364,2455.621960545455,3.107757315917118
3356.169443416667,2459.855023583333,2.970597092220086
3356.4292908,2456.5905547999996,3.247635689948475
3356.6702216363633,2456.3310087272725,3.0911586893202654
3356.9154248181817,2461.3463472727276,3.086847832145715
