time,flux,flux_err
58179.16702536365,12148.815810454545,5.550052645811413
58179.42894699999,12157.479090727273,5.543685834128225
58179.66876310001,12151.0690608,5.806774212917179
58179.92213991666,12147.4452495,5.293462454050404
58180.177560000004,12140.786427199999,5.789823433318308
58180.432980000005,12149.402392799999,5.7843779493101035
58180.67725436364,12157.742486545456,5.509260573187706
58180.922457818175,12153.77585918182,5.501176985422967
58181.17880650001,12156.217120750001,5.260735137364137
58181.43515545455,12152.380757909092,5.4878743901814095
58181.680358636375,12149.477060727273,5.480626031061435
58181.92122744444,12160.199248444444,6.052772410790038
58182.181756,12164.091793250002,5.2356403286035205
58182.43825954546,12157.108002818184,5.460971401453181
58182.7317606,12166.904988600001,8.088325973800774
58182.93405319999,12148.1667477,5.7123845461780585
58183.173869363636,12154.883939818183,5.441072030089763
58183.43950618182,12166.793198363635,5.436794441271384
58183.686567181816,12169.79186581818,5.431413140741425
58183.9230397,12160.7229214,5.68937712643026
58184.17697354545,12150.530451272729,5.416706462966995
58184.43285816667,12157.23661516667,5.181207443546388
58184.679082999995,12147.447742299999,5.668226717663158
58184.95221222222,12154.924994333334,5.96926949024597
58185.17357616666,12158.6696305,5.164949568762527
58185.435807500005,12143.578852666666,5.158130169483467
58185.69277563636,12135.146876272729,5.381147650552343
58185.93797881819,12149.691359999999,5.376911942486852
58186.1727795,12155.991491,5.633938440765097
58186.43024288889,12154.030231333334,5.932129745223734
58186.685663000004,12164.9652502,5.6235786775304115
58186.94108309091,12173.443592818181,5.358170259415629
58187.176069400004,12189.011500199998,5.616504668095979
58187.433533,12190.258288300001,5.612809155318721
58187.676692818175,12199.106695818184,5.3475722798706915
58187.9218960909,12217.32843690909,5.344365621239837
58188.167099181825,12227.211618999998,5.341115208532419
58188.4020858,12235.062101200001,5.597104774807356
58188.66942541666,12254.109428166666,5.105529297625011
58188.925000272735,12266.552089545456,5.329206453599791
58189.17020363637,12293.650003727274,5.327391810365934
58189.415406818174,12312.115348545456,5.324609004888393
58189.67237483334,12331.23176475,5.095710681042529
58189.947093333336,12362.324768777778,5.88374390364148
58190.162781444444,12389.522663444446,5.881842477909689
58190.418510999996,12410.158082090908,5.317629149001871
58190.671144636355,12444.623482545454,5.3163977729388385
58190.93925833333,12484.34229588889,5.875997535634656
58191.152959750005,12509.037762125,6.23098344916841
58191.42966477778,12553.228339000001,5.874521058029519
58191.663289000004,12586.5470476,5.57239019484878
58191.915736999996,12634.513745363634,5.314688515052177
58192.179516181815,12669.569180272729,5.3133892298727154
58192.42471945454,12727.928100636364,5.31557678805104
58192.66862240001,12758.916476299999,5.5742840767785165
58192.92812923077,12818.284682153848,4.891104503108239
58193.200577222226,12862.281736888888,5.87880222636964
