object,baseline,peak,peak_minus_baseline,n_points
2018adf,650.8701645,785.2581905999999,134.38802609999993,269
2018agk,12150.110905636364,14165.826628333336,2015.715722696972,268
2018alh,5137.04349155909,5594.571267111112,457.5277755520219,269
2018auo,2455.119624183333,2648.6466447272724,193.52702054393922,269
2018fub,-34.11129633530393,4.632687184016889,38.74398351932082,105
2018nt,6709.234717558333,7088.812620249999,379.57790269166617,319
2018oh,7.361970033668206,21530.651209475796,21523.28923944213,276
2020tld,-3.6946223282388635,90.42074667760075,94.11536900583961,102
2023bee,-3.4427513460144734,493.499347512668,496.94209885868247,96
2023inb,0.3374660046187486,79.81736907384025,79.4799030692215,112
