time,flux,flux_err
58353.63990096287,-33.36870448823253,2.0083023136312645
58353.660734356214,-32.48821004347916,0.9763570851559072
58353.68156774862,-34.67854577050947,2.641794822130208
58353.7024011401,-35.26471427997258,2.6368287833065787
58353.72323453065,-33.69981223618513,2.856604204961789
58353.744067920496,-34.687302679019986,2.6337587212821747
58353.764901309645,-33.33357513561401,2.636954131450272
58353.785734697856,-33.969538613117095,2.644924624560347
58353.80656808514,-32.92929696329547,1.62747877019189
58353.827401471965,-35.9772803843569,2.596360574246474
58353.848234857855,-34.456937475676796,2.6330021944406012
58353.869068243046,-31.984866450385386,2.650286329549745
58353.889901627306,-33.38739035893509,2.6287744971131763
58353.9107350111,-33.72558420485199,2.6528103603547377
58353.9315683942,-33.22097934886714,2.6318677234311934
58353.95240177636,-33.245607557400604,2.6356848588796744
58353.97323515783,-34.40285293130914,2.6445626757700307
58353.99406853882,-36.71459263847739,2.636536575152406
58354.01490191912,-32.20545520412927,2.6331768965120173
58354.035735298494,-32.25869439433308,2.7224909423511856
58354.0565686774,-32.56286246317046,2.645670900777827
58354.077402055605,-33.69702642299757,2.6359868373258224
58354.09823543311,-33.228483882837665,2.6362394819517885
58354.119068810156,-32.93798863850642,0.7656175442220587
58354.13990218627,-33.36368907248235,2.6201878718818667
58354.16073556191,-35.27788660978859,2.6564216496587623
58354.181568937085,-34.56741621140871,2.6335157767653006
58354.20240231133,-32.66692466252961,2.6327589910427944
58354.22323568512,-32.83654826665824,2.6285114045049744
58354.24406905843,-34.213717668471105,2.624170216656568
58354.26490243105,-33.37671467181857,2.6335247557445345
58354.28573580297,-34.316698708691234,2.6430018085063613
58354.30656917443,-36.01853387171105,2.6338103843716962
58354.32740254518,-34.03893458962973,2.699758585036378
58354.34823591547,-33.420479230314434,2.6862600630114355
58354.36906928506,-33.59281337104254,2.659521683698955
58354.38990265419,-33.74991521451107,2.6562749259765672
58354.410736022845,-34.435439779943174,2.665596418688186
58354.43156939081,-35.4362850767816,1.2380106274479712
58354.4524027583,-31.92134054855981,2.662324522432612
58354.4732361251,-36.26451512778146,0.5415629497545364
58354.49406949143,-32.751454983241295,2.6606772881445067
58354.5149028573,-34.48248856975943,2.6672900589986863
58354.53573622247,-34.05838738310074,2.658217902492593
58354.55656958717,-36.12768325669506,2.638233884524503
58354.57740295141,-34.788787187374055,2.666168794118659
58354.59823631494,-35.07077441797593,2.6614906755450556
58354.61906967801,-35.624375425423395,2.6489872962680434
58354.63990304062,-31.51983538028949,2.662964382134152
58354.66073640276,-34.19229037985198,2.6588017849584253
58354.6815697642,-33.592564178217934,2.658880560961576
58354.70240312518,-35.233694452623546,0.4057222620666498
58354.72323648569,-34.38917674474582,2.4365680491405355
58354.744069845736,-34.25573832593099,2.6571424372618027
58354.76490320508,-34.376167462029684,2.662962324451032
58354.7857365642,-34.70669807828415,2.660927843798604
58354.806569922606,-32.760570656537844,2.6649917820713602
58354.82740328056,-36.966894229273194,0.3476508231350658
58354.84823663804,-33.0645839703956,2.661263614700717
58354.86906999506,-34.46634889139316,2.670938732121058
58354.88990335138,-33.50800423381914,1.1613539927733563
58354.910736707236,-34.237650320408505,2.617664494928804
58354.93157006286,-33.172943567158136,2.665040708085654
58354.95240341778,-35.87356003787563,2.6602974604743435
58354.97323677224,-30.941810271494255,2.6592306479087737
58354.99407012623,-34.546066434567926,2.66327164174804
58355.01490347976,-32.14422992200712,0.18032601554028838
58355.03573683258,-34.53238927699111,2.663213303897888
58355.056570185174,-34.70352959600389,2.68919830788983
58355.07740353707,-31.464535736313742,2.6724025476383004
58355.098236888734,-34.75137018951151,2.6911355497581693
58355.1190702397,-32.38293985857391,2.659543253288702
58355.13990359043,-33.93514987504751,0.6764063249652409
58355.16073694047,-33.34567165686406,2.6607994580647127
58355.181570290035,-35.5806136387645,2.6529499642391943
58355.20240363914,-34.51380480975499,2.5939452118175605
58355.223236987775,-33.95764599090947,2.6696032656660518
58355.244070335946,-34.065677795904556,2.661208083961895
58355.264903683645,-32.973087192028224,2.654960221778922
58355.285737030885,-34.735107703110074,0.36891280759996925
58355.30657037766,-33.94130416339584,2.6568806328583463
58355.32740372397,-35.05661422790709,2.665810715339835
58355.34823706981,-35.19238253051739,1.0402896052673851
58355.369070414956,-33.876052689585286,2.634054103647829
58355.38990375987,-32.16879330698562,2.662348638129259
58355.410737104314,-35.20472468102468,1.396961475588466
58355.431570448294,-35.76054360228948,2.670634683652549
58355.452403791576,-34.95656062902141,2.661808402280867
58355.47323713462,-34.6645888005156,2.6849471265977485
58355.4940704772,-34.63631400272119,2.668420822149803
58355.51490381932,-33.34991538783178,2.665273533950276
58355.53573716074,-32.916985887132704,2.692971495504159
58355.556570501925,-34.586932879683616,2.6611506708763613
58355.577403842646,-31.837567351882665,2.6873324078285954
58355.5982371829,-36.38417770515304,2.6652857980197493
58355.61907052246,-33.813348901326435,2.44219005400406
58355.63990386178,-34.46961890593447,2.6649355098389047
58355.66073720064,-34.397676191684255,2.6616794991883204
58355.68157053903,-35.33215374274494,2.6666865397159025
58355.744070551176,-34.54312498763188,2.6682938207646805
58355.764903887706,-34.84397058830526,2.6588809375006526
58355.78573722377,-32.38802135554055,2.660653338937919
58355.80657055937,-33.03815982307434,2.6609346814619355
58355.84823722917,-33.62602355668867,2.6628763903493584
58355.86907056337,-32.16036182320148,2.662327573903751
58355.88990389711,-36.54183133820433,2.6598765190556852
58355.91073723038,-34.28187105411674,2.7334419886833157
58355.931570563174,-33.20353812692382,2.616301257711726
58355.95240389551,-33.52527948167573,2.6526211389727465
58355.97323722739,-34.810645243685876,2.6631445508675506
58355.994070558794,-32.420691804252286,2.6642106260012457
58356.01490388997,-33.658164518129595,2.6712230308442186
58356.035737220445,-33.33796044668654,2.662829557641353
58356.056570550456,-32.43408919053198,2.656772845294922
58356.077403880234,-33.139667829178954,2.669885357064782
58356.09823720931,-34.73285306021304,2.680686664240927
58356.11907053816,-34.66081002107219,2.6681637674406944
58356.16073719422,-33.561722109761966,2.6867482887282486
58356.18157052167,-35.47129861081731,2.653582691581493
58356.20240384842,-34.268435840037995,2.6604478106216325
58356.223237174934,-33.602512149334146,2.6727805699177134
58356.24407050099,-33.02142485940102,2.661790146917373
58356.26490382657,-32.79569136109175,2.66472863141677
58356.285737151695,-34.29499231893713,0.34748934287494815
58356.30657047635,-34.24781599848126,2.573287820908017
58356.32740380054,-31.43683671762405,2.657427447710525
58356.348237124264,-34.26766145701494,2.6573514422158997
58356.36907044752,-33.344819821337985,2.6589949630848486
58356.38990377055,-34.4291429402877,2.709050980075806
58356.410737092876,-35.512239804140904,2.6629335427288883
58356.43157041474,-34.08143176480623,2.668360863437708
58356.452403736366,-32.05098371821728,2.661247331064982
58356.47323705729,-33.65367671713424,2.696964771237573
58356.49407037799,-34.87604776851746,0.856975077812142
58356.514903697986,-34.51237384162183,2.6607135193029796
58356.53573701775,-34.228873837648784,1.8517506877371381
58356.55657033705,-32.23641544529855,2.6800271891621428
58356.57740365589,-31.7304152780324,2.6712885875527013
58356.598236974256,-33.52998142080661,2.653801190799129
58356.61907029216,-34.769432373988714,3.0637858477905073
58356.6399036096,-35.56623342516358,0.9336238298683138
58356.66073692657,-34.85836785577627,2.6863052366949827
58356.681570243076,-35.124433160917576,0.44564658189051176
58356.70240355912,-30.99240466304437,0.5736592810559914
58356.72323687469,-32.11707596040605,2.675426081384507
58356.74407019003,-33.44285501454879,2.6593627153406403
58356.76490350467,-32.533206714816224,0.3693177455141356
58356.78573681908,-34.186385096932185,2.6856861453822964
58356.827403446274,-35.09601400286694,2.7320868378025955
58356.84823675929,-33.758716334993565,0.9536954796427043
58356.869070071836,-33.71316333749017,2.6609369797803755
58356.88990338392,-33.42949832905442,0.9082227205958557
58356.910736695536,-34.92132927530062,2.6760633439004367
58356.93157000669,-33.08345380610325,2.6607465231413547
58356.95240331737,-34.844350719595035,2.664832604391287
58356.97323662759,-32.763956090069065,2.675745215962025
58356.99406993757,-33.91065245089132,2.666975451995175
58357.01490324686,-36.11068274203332,2.6792816098187258
58357.035736555685,-33.99078743421634,2.6627881807447276
58357.0774031724,-33.44679321349433,2.6527665160543745
58357.098236479826,-33.854374030902825,2.6593722731490907
58357.11906978702,-34.85846301281621,2.6655947487165497
58357.13990309375,-34.418282333446804,2.651901056100209
58357.16073640001,-32.79669840381172,3.1742884131978846
58357.181569705805,-34.44359234713002,2.665172422870049
58357.202403011135,-33.81606315077339,2.6381754737136167
58357.223236316,-32.01054285961985,2.6692349356020193
58357.2440696204,-34.42238542563743,4.302983413253681
58357.264902924566,-33.251769830626806,2.520688070907891
58357.285736228034,-34.90658206812711,2.6636910081617198
58357.30656953127,-32.52908396025938,0.8030355770882477
58357.327402833806,-32.069056221292904,2.358957792117996
58357.3482361361,-35.20283519234685,0.5308749156566336
58357.36906943794,-33.6587705143558,2.6690427256259253
