time,flux,flux_err
60068.24703779743,-0.09651849575681562,1.5347274321608582
60068.249352701045,7.213716761919324,1.6049464766229822
60068.25166760466,0.026682174404594042,0.7909733427163239
60068.25398250827,-0.46783407397921417,1.4143656099033446
60068.256297411885,-1.5762853412144702,1.7817653384038095
60068.25861231549,1.7962015021847282,1.0543422146565629
60068.26092721911,7.669074412043074,1.4349254005793612
60068.26324212225,5.484529083622199,1.566593901075793
60068.265557025865,3.141795019548753,1.1373941442161033
60068.26787192948,-1.2069389490322382,1.3541539078539688
60068.270186832626,1.4813447165063691,1.9409001130287493
60068.27250173624,-4.525631266898509,0.830746018477427
60068.27481663939,-2.3119703776650327,1.96956277684076
60068.277131543,-1.7740624495743451,1.5487619533592654
60068.27944644615,-1.9530343221798978,1.596383805843658
60068.281761349295,0.7491479212095528,1.2726153945359278
60068.28407625244,-2.422028015245342,1.6743717998248682
60068.28639115559,8.25373541370103,1.2963317494395863
60068.28870605874,7.656155129045798,1.8164433301299492
60068.291020961886,-0.5318001774657017,1.7943069568713599
60068.29333586503,2.3857085629337913,1.892119505023851
60068.29565076818,3.092055876705074,1.592072210690751
60068.29796567133,6.542010826709523,1.7440010966275183
60068.30028057401,12.91244840921063,1.418472437728626
60068.30259547716,-0.33935197565640673,1.6995806805656377
60068.30491037984,0.06885409101449237,1.5346449949415293
60068.30722528299,11.430600372509485,1.8066804593771597
60068.30954018567,-0.11018917488480563,1.5531330098612743
60068.31185508835,3.7417314632126133,1.6005860291253375
60068.3141699915,-1.6931924945498982,1.507525389702389
60068.31648489418,4.312452263925376,1.5287860872898413
60068.31879979686,-5.198623126627659,1.1819251820705414
60068.321114699545,4.4099225374061835,1.5231270719434422
60068.32342960223,1.600957489826988,1.7117310267484098
60068.3257445049,-1.7989241321006797,1.6466196559932724
60068.328059407584,5.554444105679382,1.9809203054833453
60068.3303743098,-5.5695325067851105,1.324541851381391
60068.33268921248,-10.73618494655323,1.5530999327691661
60068.335004115164,1.5403430093709354,1.3572628778030995
60068.33731901738,-2.4453400285705307,1.5121092217192387
60068.33963392006,7.501000854447276,1.1762061055317035
60068.34194882228,4.559283597966248,1.0388425575919111
60068.344263724495,7.105427357601002e-15,1.7793576138095164
60068.34657862718,6.913174405478385,1.615970953183396
60068.34889352939,-5.689323684485417,1.7473975943656541
60068.35120843161,6.423005076514141,1.7068291686415145
60068.353523333826,3.655566836633929,1.0116376156148026
60068.35583823604,0.8307139237675432,1.5755289215818704
60068.35815313826,7.65896859950571,1.3356806450145007
60068.360468040475,-4.6887282200147835,1.1981869014628728
60068.362782942226,-6.542997544274001,1.7790403569242574
60068.36509784444,-9.725269878079413,0.8011130527624847
60068.36741274666,-16.589961130129264,1.5785580907120256
60068.36972764841,3.3910850391419607,1.5678486283783422
