SN_ID,a,b,c,d,e,f
2018adf,0.13826789475275958,3.674903393224128,676.2513448224279,-24.13510796295466,0.30370018509464625,1.2115265245246372
2018agk,2.1620858638605704,51.820702516925486,12738.002727741134,459.70335383721863,0.27779101677183193,-1.377063492587065
2018alh,177.63554379098437,-4090.340779034578,-516020.77006624534,545114.1322742797,0.025705170836623065,1.2734219318292168
2018auo,0.0319552706083972,9.405187960747906,2451.6818861404195,-23.500252834635745,0.3279436191579008,-0.27828604987469746
2018fub,-0.04895319708201225,1.8010037301040056,-23.92456241221737,10.946548053528742,0.26909031367890396,-2.1258086500350304
2018nt,-0.2075169990611664,12.355421349706164,6799.329801373364,-109.77669512545316,0.19963158706602413,0.7749719740896012
2018oh,-6.210771017396945,1364.735271847285,980.3676214377809,-2232.388203805131,0.3798534416962315,0.13735937389863087
2020tld,96.80976967915046,-941.3179682424027,-99278.36017998497,-101607.73325782402,0.04364455454010853,4.497906302927421
2023bee,1.3263517085416199,34.841262765256765,37.10095751151859,-23.389238334094927,0.7390556661054143,0.32198773761073046
2023inb,0.015742681201425544,5.74093337138803,-0.8603560145119925,-7.681840654976464,0.5500270657399545,-0.29000563468388885
